List of supplying markets for a product imported by United States of America ,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,
,,,,,,,,,,,,
Sources: ITC calculations based on US Census Bureau statistics.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,
,,,,,,,,,,,,
Exporters,Imported value in 2019-M08,Imported value in 2019-M09,Imported value in 2019-M10,Imported value in 2019-M11,Imported value in 2019-M12,Imported value in 2020-M01,Imported value in 2020-M02,Imported value in 2020-M03,Imported value in 2020-M04,Imported value in 2020-M05,Imported value in 2020-M06,Imported value in 2020-M07
Portugal,358024,251863,296123,317255,390692,331096,408708,391875,308884,239270,234670,316764
Nicaragua,354582,344192,360706,327164,321169,299617,314537,361260,229756,213335,271530,316540
Pakistan,357330,333232,358416,322724,332872,364094,302812,336884,313235,181122,259245,313045
Norway,485263,622623,478212,422917,442324,375550,282895,384071,322186,344539,418149,309888
United Arab Emirates,343313,511656,355653,308971,293343,287737,273915,299322,232849,183888,266954,294382
Trinidad and Tobago,227255,223773,221823,299308,323691,227499,296712,291840,151196,174358,165632,235976
Egypt,323013,305931,202676,223768,269475,252903,197467,209498,124823,140694,149405,231436
Sri Lanka,231685,232107,261436,204937,219224,297254,245517,253391,132921,71645,185224,197951
El Salvador,202256,209544,223491,204818,216229,166803,215340,205182,57854,59211,81079,188518
Romania,215225,197120,198033,181919,195702,187594,165010,208148,132179,162320,193353,178579
Ukraine,104981,86995,114421,105514,91872,110168,100701,65136,118069,105886,107525,173939
Jordan,233105,220131,264344,146597,180084,177459,198880,196050,117677,81857,95224,163479
Kuwait,94606,7834,9892,90500,146819,130876,112844,56552,8554,17918,25873,156117
Iraq,507942,677409,377436,550834,705895,497945,559241,461654,249853,469233,96851,150491
Greece,126729,130935,143390,104521,111297,115612,107342,159960,113939,98267,108638,105075
Kazakhstan,156064,131275,30349,97042,49743,108882,60637,81475,36571,25716,78420,99673
Lithuania,75715,73849,116819,151914,84341,109277,70830,97777,76341,68871,74065,85158
Morocco,140270,113441,147672,109520,126154,118701,93880,141905,134354,126876,63473,84793
Myanmar,80850,85992,111372,75239,80719,102881,92251,86719,89473,79140,56794,84503
Haiti,93111,84467,87581,75506,84334,59116,81456,91937,35070,32420,60392,84062
Bulgaria,80142,73859,81261,80673,75467,80410,56192,84674,67132,61278,58823,75382
Croatia,35198,43293,44526,43080,45228,38557,34674,64540,42883,41670,40604,73577
Latvia,126628,88185,90069,92438,29946,49051,25161,74428,35397,38767,28276,71678
Slovenia,80426,70995,98272,67722,107570,86373,147375,76856,99767,164679,122071,69086
Uruguay,40189,40046,43498,47056,40622,32752,32814,42665,51550,49910,57975,68998
Nigeria,705561,478154,301853,316059,416732,182741,148677,106957,84600,98304,141663,61007
Estonia,95162,53753,65967,51810,77297,66826,70156,73708,60359,64422,77680,59823
Oman,100722,103482,116188,82622,67155,84342,61896,84716,118024,63640,64422,59222
Ethiopia,65431,47117,52696,43088,50486,39231,43651,39393,33717,41538,51207,58683
Tunisia,35919,30487,36647,37526,44832,33224,52541,59201,43568,46445,62121,56452
Madagascar,56577,41411,50037,70259,63627,82716,62926,52885,75905,45213,57703,56173
C?te d'Ivoire,70364,45640,36183,32427,88482,97043,148425,110784,129888,65691,58187,54263
Bahrain,79641,71820,80649,81820,88222,76991,70140,56948,74623,80030,45482,47574
Ghana,140843,84737,29657,14850,37512,111561,38286,86891,34135,77472,48630,46598
Kenya,64543,60288,54382,61600,48970,75476,38903,60902,48929,37290,38511,42378
Iceland,32406,40695,61198,38606,41157,38529,38714,38574,28762,38630,33527,38713
Serbia,34377,29595,36841,34181,35340,37435,34466,36157,31809,28922,34990,36747
Jamaica,26824,37558,42527,28950,26611,28586,27853,33152,32251,20200,44333,33521
Luxembourg,43703,36403,51848,40940,84060,56038,32869,44550,34028,32023,36234,32447
Panama,49328,34862,34424,36280,39631,33656,35671,32845,16324,19600,45029,29117
Guyana,12310,7562,13281,9985,9667,15324,103447,80217,45842,33112,9601,28709
Algeria,151617,151277,110278,89920,47647,102934,75316,43701,58845,21862,14070,28319
"Bolivia, Plurinational State of",32475,46863,35835,25879,32869,43188,24214,37189,33100,25252,21712,27387
Qatar,116226,74013,142748,79907,82457,96265,67840,251297,158111,108616,50737,24545
Lesotho,22379,28069,33083,40480,24514,34278,27782,22018,15348,7972,17434,22749
Fiji,29015,24956,28902,41516,22755,21170,10741,18735,16943,18207,20809,22599
Cameroon,6764,5422,41656,71707,7731,104399,63602,68171,28741,44491,6903,20391
Lebanon,11492,11564,10416,12218,11135,11100,14512,8277,6643,6915,14874,19044
Belarus,46679,24156,37140,22264,6349,86976,24836,28665,8405,14353,21720,16797
Equatorial Guinea,12896,6417,58902,26810,12783,13513,12659,6188,26968,12375,7880,16222
Belize,9522,1508,2988,3699,8399,2934,3260,2612,3041,4930,3337,14186
Bahamas,35421,11828,32986,45542,51941,29356,26922,30759,31417,20471,17236,14008
Mauritius,41918,32617,26927,25561,24810,23125,22568,41502,9906,8471,15370,12247
Papua New Guinea,5473,7028,6950,7525,7917,12343,4453,3864,3572,3052,3020,12222
Paraguay,19610,20968,20698,13383,13715,15202,14062,13104,11395,8532,13066,11860
"Venezuela, Bolivarian Republic of",24418,17500,26639,21391,24755,14456,13621,15649,9499,10255,29125,11391
Angola,78488,139145,157988,42493,28184,19313,67748,616,28937,65874,69661,10744
Faroe Islands,10617,16286,15482,13879,19619,20625,13175,11114,8943,13769,13871,10327
Georgia,16141,5362,5953,28460,3594,29938,1778,20144,2602,26012,4014,9463
"Macao, China",14572,7531,6138,8405,8228,9433,8441,13022,4611,6028,6391,8890
Bosnia and Herzegovina,10676,8656,8274,7603,9283,7795,7300,9023,6629,5760,7234,8857
Senegal,8611,7476,18335,11605,9839,9645,4916,8058,12314,5796,7606,8086
"Moldova, Republic of",9157,4791,7811,6458,4366,6011,4405,5078,3146,3805,3888,7505
Botswana,17378,26640,23577,30294,28762,11872,11134,68558,734,2170,9238,7238
Malta,10919,14649,15029,12495,14842,12881,13779,14286,5147,7771,18112,6993
Uganda,7266,7254,5852,10907,5141,4654,7534,7294,6824,8711,10871,6477
"Tanzania, United Republic of",12240,8731,11451,14291,9059,29403,20287,7810,10885,6317,6264,5987
Niger,813,1576,2024,4310,8145,4164,9294,3264,10127,9290,4200,5883
Cyprus,4026,8893,17821,3957,8336,9849,3607,3684,5511,2218,9057,5770
Suriname,7113,5833,6952,6146,6090,5324,4242,33032,42625,40522,28673,5699
Nepal,9191,10423,8928,7138,7391,8376,7166,16660,2253,1363,5120,5522
Lao People's Democratic Republic,11145,16398,10463,6831,10779,7013,11598,10214,5152,4131,7272,5269
Barbados,2749,4275,3167,2499,2702,6503,3559,3693,1423,2678,4554,5233
"Macedonia, North",8782,15657,27346,20971,38314,16671,6745,8136,6672,3782,6277,5124
Armenia,4180,4354,4537,6025,5727,5070,5248,5515,5548,6189,5380,4636
Albania,5656,4274,4795,3773,3685,4097,3064,4625,3415,4092,4063,4137
Greenland,939,2306,1872,3719,2301,2161,2709,791,530,1185,2029,3852
Saint Kitts and Nevis,4135,4816,5972,7800,6306,7389,5099,4703,2425,2097,4463,3440
Namibia,7414,11277,5274,12079,11951,4668,9550,8790,1685,2845,4540,3206
Mozambique,5700,15851,10115,11699,9177,14394,7409,7767,9114,1300,6685,2952
Liberia,7099,5746,4404,6544,3870,3412,5691,2676,9253,5138,581,2912
Brunei Darussalam,9042,854,1726,1472,999,14229,2517,22905,14295,22981,3393,2684
Cura?ao,12407,11886,16373,27127,20206,17534,17962,2756,529,2514,2706,2633
Zambia,5688,3752,9676,2143,3598,19535,4851,1781,51,786,915,2555
Malawi,6477,3590,11613,5067,8040,2921,3146,2649,3440,2284,1966,2549
New Caledonia,5267,3265,4423,3419,3119,1325,3882,2918,2351,1269,2948,2272
Cayman Islands,693,467,1716,1256,15518,1614,1397,1686,537,2186,1977,1923
"Congo, Democratic Republic of the",2826,1553,2235,2530,2451,2496,1910,4362,788,2059,3455,1854
Togo,1363,1867,1215,1567,1134,568,474,2961,2344,1335,1568,1834
French Polynesia,5391,3340,3425,3203,19945,2804,2762,2525,437,1001,755,1757
Mongolia,1392,1257,1495,1571,1153,1047,852,1518,211,442,681,1736
Azerbaijan,1272,4102,1773,1236,1995,3537,2399,10448,495,10923,1318,1704
Zimbabwe,5354,6313,2575,8548,3633,1245,6248,2589,1836,991,5590,1649
Djibouti,4651,5173,1879,3352,857,2174,816,268,361,398,2320,1616
Uzbekistan,7464,583,775,520,2340,16405,1005,1542,921,931,10495,1176
Saint Lucia,1711,807,714,755,2274,974,661,712,415,612,819,1088
Aruba,859,2354,2138,820,1667,1296,1098,2401,412,361,19760,1059
Maldives,1400,1676,2739,2281,3020,3439,1905,1657,912,1021,657,984
Mauritania,365,230,369,523,155,550,558,1059,466,583,273,970
Grenada,812,1070,1076,1286,807,761,1475,1026,259,1185,1365,868
Marshall Islands,707,1290,390,485,332,519,793,278,350,3443,775,849
Afghanistan,6183,1007,1993,1053,1362,2314,1549,1794,1126,603,1441,840
Sierra Leone,1039,1471,8997,1216,1423,10068,2799,2771,4235,316,3320,809
Congo,1691,1962,1894,12441,770,7358,1882,1681,2140,2868,1870,805
Solomon Islands,1318,90,719,525,62,264,23,689,135,122,321,780
Montenegro,217,273,237,279,138,537,278,316,845,118,99,752
Saint Vincent and the Grenadines,286,271,505,528,340,315,421,501,438,416,609,728
Comoros,28,39,22,197,4,164,50,183,29,1725,2,710
Vanuatu,895,500,886,569,323,490,340,395,2,232,616,667
Guinea,2227,2376,598,219,811,2337,608,1786,1599,394,304,640
Yemen,651,298,67,532,25,87,348,695,776,2,201,630
Mali,129,519,244,47,885,124,436,180,59,26,80,617
Antigua and Barbuda,323,646,210,179,2583,718,674,383,118,82,94,576
Gabon,15057,1284,28298,16419,7684,2014,861,9547,13546,9559,1214,574
Tonga,598,422,534,1808,421,319,418,300,141,193,302,559
Kyrgyzstan,328,1440,539,542,276,371,294,297,220,619,1444,524
Syrian Arab Republic,359,604,585,256,1376,284,4825,381,292,565,411,499
Cabo Verde,664,110,231,84,606,402,450,346,3,1276,82,484
Bermuda,3274,1686,2412,1498,1219,1313,477,1508,182,286,13995,478
Samoa,647,571,335,630,671,519,225,345,735,313,436,466
Benin,482,411,549,756,691,389,977,379,720,660,522,437
Nauru,138,51,25,224,358,201,60,228,4,616,202,418
Rwanda,7014,3464,5834,5803,5174,5472,3293,3447,1407,1384,1562,355
Turks and Caicos Islands,389,658,696,456,492,358,286,567,73,122,264,343
Turkmenistan,222,44,76,63,80,288,581,17,732,12175,16,332
Burkina Faso,913,1477,735,498,336,206,324,219,428,572,112,322
British Virgin Islands,330,148,231,755,909,711,553,404,311,1756,675,305
"Iran, Islamic Republic of",48,85,10,50,33,163,2623,147,2,0,73,236
Dominica,458,77,65,56,323,352,6,345,21,132,261,175
Eswatini,828,285,3043,9203,842,337,690,498,241,55,169,173
Andorra,177,219,554,240,359,115,2020,155,18,1738,47,165
Tokelau,97,410,39,67,125,1503,16,92,18,230,142,150
Seychelles,639,595,1098,950,1123,1292,746,696,123,462,449,148
Anguilla,359,424,247,188,131,257,129,216,5,18,37,147
Cook Islands,67,25,7,45,21,7,126,69,1780,6,8,142
"Palestine, State of",202,229,313,324,592,517,869,285,413,329,810,137
Timor-Leste,775,357,1383,794,776,688,79,112,109,0,83,115
Sao Tome and Principe,315,55,132,47,18,38,79,4,98,88,13,109
Sudan,1561,192,254,34,31,697,528,259,279,1444,25232,104
Tajikistan,11,55,147,46,170,93,77,126,6,11,3,83
Gambia,11,94,47,20,1059,66,154,34,175,2,0,77
Gibraltar,1399,1115,3488,11,46,6,2,5352,105,852,3389,76
Chad,28,560,598,1224,871,26,25,366,283,355,367,68
French Southern and Antarctic Territories,28,2,0,0,7,0,0,0,0,0,3,67
"Libya, State of",175031,107505,184041,40814,149293,4385,220059,78,18,0,25,64
Montserrat,42,88,29,18,9,116,323,42,15,84,58,57
Christmas Island,77,5,2,33,4,13,30,3,0,5,7,57
Cocos (Keeling) Islands,0,372,207,60,95,274,22,21,15,199,92,49
Niue,2,29,115,16,6,9,6,18,15,21,351,44
"Micronesia, Federated States of",65,174,455,304,400,370,329,243,59,107,68,44
Central African Republic,85,126,2,266,151,204,2,400,6,40,202,40
Eritrea,17,4,33,10,12,34,34,1,42,1,1,38
Palau,127,77,67,46,108,56,37,66,7,0,51,37
Saint Pierre and Miquelon,0,0,0,1,0,4,0,0,2,0,0,33
Saint Helena,95,93,91,2158,8,1052,79,1351,6,298,51,27
Falkland Islands (Malvinas),271,0,102,0,25,2378,507,3449,2394,178,2,22
Bhutan,332,0,4,5,27,51,6,14,14,27,26,7
Somalia,8,10,25,9,233,39,38,4,61,16,8,6
Norfolk Island,35,0,2,0,0,0,25,0,0,0,0,5
Kiribati,207,171,264,167,96,456,104,234,119,121,4,4
Tuvalu,12,0,3,0,1,2,1,1,6,5,20,1
Wallis and Futuna Islands,2,0,24,0,6,721,0,9,12,3,2,1
Western Sahara,0,259,7,0,1,0,0,0,0,0,0,0
Guinea-Bissau,0,0,0,325,440,136,71,0,262,0,5,0
Pitcairn,2,3,2,9,0,0,1,0,1,1,1,0
British Indian Ocean Territory,1,2,16,80,58,1,67,0,0,7,81,0
Burundi,738,407,66,795,1673,1677,642,160,319,46,70,0
Cuba,390,601,0,375,3,168,49,100,3324,0,10053,0
