List of supplying markets for a product imported by United States of America ,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,
,,,,,,,,,,,,
Sources: ITC calculations based on US Census Bureau statistics.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,
,,,,,,,,,,,,
Exporters,Imported value in 2018-M09,Imported value in 2018-M10,Imported value in 2018-M11,Imported value in 2018-M12,Imported value in 2019-M01,Imported value in 2019-M02,Imported value in 2019-M03,Imported value in 2019-M04,Imported value in 2019-M05,Imported value in 2019-M06,Imported value in 2019-M07,Imported value in 2019-M08
Sierra Leone,2094,13116,2720,2214,1820,4191,3486,3068,1376,1146,1273,1039
Greenland,1349,1615,387,379,456,1601,2675,2954,1891,1286,5444,939
Burkina Faso,1135,290,478,224,594,88,389,458,305,133,181,913
Vanuatu,359,733,233,727,239,353,88,1139,574,494,436,895
Aruba,2357,3913,1268,1320,1319,1048,2371,1599,2224,2013,1746,859
Eswatini,934,4328,3314,735,89,395,339,193,165,125,734,828
Niger,1632,2728,1247,4436,9032,4106,2188,1748,7642,4728,916,813
Grenada,1092,1424,1151,560,661,962,1893,2075,2459,1566,1300,812
Timor-Leste,868,1420,1816,1852,489,17,230,8,152,176,59,775
Burundi,1589,1582,2124,1297,2508,676,509,750,671,580,899,738
Marshall Islands,1509,1196,1327,1602,1613,1067,1628,1082,1615,1031,1001,707
Cayman Islands,2792,2248,3493,2124,2292,3040,5588,4915,9077,3742,896,693
Cabo Verde,45,260,878,143,445,425,497,505,148,190,203,664
Yemen,297,256,1,239,504,653,275,268,600,743,279,651
Samoa,519,583,575,785,591,536,1206,576,838,668,475,647
Seychelles,557,444,1028,1482,623,696,1160,1453,1508,716,2014,639
Tonga,326,354,473,404,246,271,355,353,359,360,474,598
Benin,1324,361,1638,971,543,313,1607,1417,1001,618,415,482
Dominica,26,33,84,67,105,57,181,75,26,137,565,458
Cuba,5,0,77,361,0,504,42,73,348,28,225,390
Turks and Caicos Islands,681,753,1114,664,333,507,706,483,211,465,497,389
Mauritania,976,444,270,2630,109,99,396,278,1815,273,583,365
Syrian Arab Republic,317,626,319,800,581,432,638,238,591,393,214,359
Anguilla,472,193,884,180,66,186,201,132,174,94,212,359
Bhutan,5,4,258,23,39,0,19,27,142,0,26,332
British Virgin Islands,133,268,345,439,277,426,305,503,369,296,416,330
Kyrgyzstan,956,706,997,393,246,361,176,530,613,371,158,328
Antigua and Barbuda,355,389,923,336,354,300,621,356,2303,2742,238,323
Sao Tome and Principe,102,237,2,69,69,261,413,28,68,72,111,315
Saint Vincent and the Grenadines,529,701,492,620,524,412,662,365,535,405,561,286
Falkland Islands (Malvinas),4,6,36,0,2617,201,3588,5627,1371,1197,4312,271
Turkmenistan,1528,99,281,568,13239,1807,11,406,288,493,239,222
Montenegro,151,323,304,184,503,152,149,313,196,374,280,217
Kiribati,552,434,407,314,379,342,338,266,254,473,294,207
"Palestine, State of",251,335,328,338,660,513,337,589,250,283,495,202
Andorra,384,87,2117,4115,2080,2263,2210,3273,39,585,192,177
Nauru,11,186,473,900,1065,1329,56,542,199,31,105,138
Mali,446,139,125,1226,622,81,172,853,877,164,134,129
Palau,65,95,59,18,62,22,801,230,29,78,34,127
Tokelau,257,6803,985,380,875,355,99,568,39,33,63,97
Saint Helena,3689,4,1103,1175,909,1269,405,2734,3195,378,132,95
Central African Republic,203,165,600,195,371,179,218,350,1064,243,589,85
Christmas Island,14,53,25,112,75,27,5,21,12,119,119,77
Cook Islands,91,108,28,24,80,23,2,119,11,92,36,67
"Micronesia, Federated States of",69,106,49,219,85,96,47,57,43,41,83,65
"Iran, Islamic Republic of",24,200,303,101,9,193,262,9,398,128,208,48
Montserrat,218,118,36,25,149,544,154,78,78,79,269,42
Norfolk Island,70,68,35,0,0,3,0,0,0,0,43,35
Comoros,5,2,149,20,313,114,28,665,644,9,26,28
Chad,650,74621,550,2359,58313,309,191,190,570,36131,36843,28
French Southern and Antarctic Territories,18,0,0,0,0,0,0,1,1,113,0,28
Eritrea,13,33,6,39,57,1,0,13,3,0,1,17
Tuvalu,0,17,1,0,38,0,35,5,6,38,21,12
Tajikistan,197,56,37,47,704,290,346,161,219,78,95,11
Gambia,52,51,68,76,124,2,30,11,37,99,58,11
Somalia,5,8,16,159,588,56,1,51,96,0,1,8
Pitcairn,2,0,1,2,0,0,5,0,3,0,1,2
Wallis and Futuna Islands,0,0,0,2,5,2,12,0,0,0,0,2
Niue,20,12,17,36,14,31,50,105,23,23,57,2
British Indian Ocean Territory,27,1,3,6,6,6,2,307,221,113,31,1
Cocos (Keeling) Islands,161,322,238,289,51,5,746,925,1,14,77,0
Western Sahara,1,0,0,0,0,0,0,0,0,0,1,0
Guinea-Bissau,0,154,0,0,133,131,62,594,227,2,85,0
Saint Pierre and Miquelon,0,2,0,0,0,0,1,0,0,0,30,0
